ticker,cp_name,market,corp_code
000020,동화약품,KOSPI,00119195
000040,KR모터스,KOSPI,00112378
000050,경방,KOSPI,00101628
000070,삼양홀딩스,KOSPI,00126937
000075,삼양홀딩스우,KOSPI,
000080,하이트진로,KOSPI,00150244
000087,하이트진로2우B,KOSPI,
000100,유한양행,KOSPI,00145109
000105,유한양행우,KOSPI,
000120,CJ대한통운,KOSPI,00113410
000140,하이트진로홀딩스,KOSPI,00148993
000145,하이트진로홀딩스우,KOSPI,
000150,두산,KOSPI,00117212
000155,두산우,KOSPI,
000157,두산2우B,KOSPI,
000180,성창기업지주,KOSPI,00133335
000210,DL,KOSPI,00109693
000215,DL우,KOSPI,
000220,유유제약,KOSPI,00144818
000225,유유제약1우,KOSPI,
000227,유유제약2우B,KOSPI,
000230,일동홀딩스,KOSPI,00146083
000240,한국앤컴퍼니,KOSPI,00160047
000250,삼천당제약,KOSDAQ,00128546
000270,기아,KOSPI,00106641
000300,DH오토넥스,KOSPI,00126089
000320,노루홀딩스,KOSPI,00113508
000325,노루홀딩스우,KOSPI,
000370,한화손해보험,KOSPI,00135917
000390,삼화페인트,KOSPI,00129387
000400,롯데손해보험,KOSPI,00113562
000430,대원강업,KOSPI,00111847
000440,중앙에너비스,KOSDAQ,00149770
000480,CR홀딩스,KOSPI,00148984
000490,대동,KOSPI,00109286
000500,가온전선,KOSPI,00104768
000520,삼일제약,KOSPI,00128032
000540,흥국화재,KOSPI,00103176
000545,흥국화재우,KOSPI,
000590,CS홀딩스,KOSPI,00149026
000640,동아쏘시오홀딩스,KOSPI,00116824
000650,천일고속,KOSPI,00151395
000660,SK하이닉스,KOSPI,00164779
000670,영풍,KOSPI,00141307
000680,LS네트웍스,KOSPI,00104698
000700,유수홀딩스,KOSPI,00163691
000720,현대건설,KOSPI,00164478
000725,현대건설우,KOSPI,
000760,이화산업,KOSPI,00145686
000810,삼성화재,KOSPI,00139214
000815,삼성화재우,KOSPI,
000850,화천기공,KOSPI,00166519
000860,강남제비스코,KOSPI,00100939
000880,한화,KOSPI,00160588
000885,한화우,KOSPI,
00088K,한화3우B,KOSPI,
000890,보해양조,KOSPI,00123541
000910,유니온,KOSPI,00144252
000950,전방,KOSPI,00147222
000970,한국주철관,KOSPI,00159573
000990,DB하이텍,KOSPI,00160843
001000,신라섬유,KOSDAQ,00135999
001020,페이퍼코리아,KOSPI,00134723
001040,CJ,KOSPI,00148540
001045,CJ우,KOSPI,
00104K,CJ4우(전환),KOSPI,
001060,JW중외제약,KOSPI,00149947
001065,JW중외제약우,KOSPI,
001067,JW중외제약2우B,KOSPI,
001070,대한방직,KOSPI,00112970
001080,만호제강,KOSPI,00120872
001120,LX인터내셔널,KOSPI,00120076
001130,대한제분,KOSPI,00113243
001140,국보,KOSPI,00104519
001200,유진투자증권,KOSPI,00131054
001210,금호전기,KOSPI,00106395
001230,동국홀딩스,KOSPI,00114792
001250,GS글로벌,KOSPI,00138190
001260,남광토건,KOSPI,00107066
001270,부국증권,KOSPI,00123772
001275,부국증권우,KOSPI,
001290,상상인증권,KOSPI,00112059
001340,PKC,KOSPI,00122472
001360,삼성제약,KOSPI,00126414
001380,SG글로벌,KOSPI,00152039
001390,KG케미칼,KOSPI,00101220
001420,태원물산,KOSPI,00154055
001430,세아베스틸지주,KOSPI,00106669
001440,대한전선,KOSPI,00113207
001450,현대해상,KOSPI,00164973
001460,BYC,KOSPI,00122579
001465,BYC우,KOSPI,
001470,삼부토건,KOSPI,00125974
001500,현대차증권,KOSPI,00137997
001510,SK증권,KOSPI,00131850
001515,SK증권우,KOSPI,
001520,동양,KOSPI,00117337
001525,동양우,KOSPI,
001527,동양2우B,KOSPI,
001530,DI동일,KOSPI,00118345
001540,안국약품,KOSDAQ,00139205
001550,조비,KOSPI,00148948
001560,제일연마,KOSPI,00148461
001570,금양,KOSPI,00106119
001620,케이비아이동국실업,KOSPI,00114765
001630,종근당홀딩스,KOSPI,00149354
001680,대상,KOSPI,00121941
001685,대상우,KOSPI,
001720,신영증권,KOSPI,00136721
001740,SK네트웍스,KOSPI,00131780
001750,한양증권,KOSPI,00162416
001755,한양증권우,KOSPI,
001770,SHD,KOSPI,00137809
001780,알루코,KOSPI,00117027
001790,대한제당,KOSPI,00113234
001795,대한제당우,KOSPI,
001800,오리온홀딩스,KOSPI,00117577
001810,무림SP,KOSDAQ,00121507
001820,삼화콘덴서,KOSPI,00129350
001840,이화공영,KOSDAQ,00145668
001940,KISCO홀딩스,KOSPI,00159740
002020,코오롱,KOSPI,00152862
002025,코오롱우,KOSPI,
002030,아세아,KOSPI,00138701
002070,비비안,KOSPI,00107677
002100,경농,KOSPI,00101433
002140,고려산업,KOSPI,00102751
002150,도화엔지니어링,KOSPI,00114552
002170,삼양통상,KOSPI,00127042
002200,한국수출포장,KOSPI,00158112
002210,동성제약,KOSPI,00116268
002220,한일철강,KOSPI,00163196
002230,피에스텍,KOSDAQ,00155638
002240,고려제강,KOSPI,00103006
002290,삼일기업공사,KOSDAQ,00127936
002310,아세아제지,KOSPI,00138729
002320,한진,KOSPI,00163512
002350,넥센타이어,KOSPI,00173874
002355,넥센타이어1우B,KOSPI,
002360,SH에너지화학,KOSPI,00136457
002380,KCC,KOSPI,00105271
002390,한독,KOSPI,00161046
002410,범양건영,KOSPI,00122694
002420,세기상사,KOSPI,00133618
002450,삼익악기,KOSPI,00127857
002460,HS화성,KOSPI,00174527
002600,조흥,KOSPI,00149345
002620,제일파마홀딩스,KOSPI,00148443
002630,오리엔트바이오,KOSPI,00141626
002680,한탑,KOSDAQ,00140566
002690,동일제강,KOSPI,00118451
002700,신일전자,KOSPI,00173698
002710,TCC스틸,KOSPI,00117300
002720,국제약품,KOSPI,00104722
002760,보락,KOSPI,00123107
002780,진흥기업,KOSPI,00150828
002785,진흥기업우B,KOSPI,
002787,진흥기업2우B,KOSPI,
002790,아모레퍼시픽홀딩스,KOSPI,00154462
002795,아모레퍼시픽홀딩스우,KOSPI,
00279K,아모레퍼시픽홀딩스3우C,KOSPI,
002800,신신제약,KOSDAQ,00136448
002810,삼영무역,KOSPI,00127167
002820,SUN&L,KOSPI,00132211
002840,미원상사,KOSPI,00121932
002870,신풍,KOSPI,00137368
002880,대유에이텍,KOSPI,00149804
002900,TYM,KOSPI,00117230
002920,유성기업,KOSPI,00174004
002960,한국쉘석유,KOSPI,00158149
002990,금호건설,KOSPI,00106313
002995,금호건설우,KOSPI,
003000,부광약품,KOSPI,00123718
003010,혜인,KOSPI,00165343
003030,세아제강지주,KOSPI,00124197
003060,에이프로젠바이오로직스,KOSPI,00101044
003070,코오롱글로벌,KOSPI,00152880
003075,코오롱글로벌우,KOSPI,
003080,SB성보,KOSPI,00132725
003090,대웅,KOSPI,00111810
003100,선광,KOSDAQ,00131896
003120,일성아이에스,KOSPI,00146214
003160,디아이,KOSPI,00118275
003200,일신방직,KOSPI,00146269
003220,대원제약,KOSPI,00111999
003230,삼양식품,KOSPI,00126955
003240,태광산업,KOSPI,00153393
003280,흥아해운,KOSPI,00167208
003300,한일홀딩스,KOSPI,00162993
003310,대주산업,KOSDAQ,00112457
003350,한국화장품제조,KOSPI,00160621
003380,하림지주,KOSDAQ,00148364
003460,유화증권,KOSPI,00145190
003465,유화증권우,KOSPI,
003470,유안타증권,KOSPI,00117601
003475,유안타증권우,KOSPI,
003480,한진중공업홀딩스,KOSPI,00163673
003490,대한항공,KOSPI,00113526
003495,대한항공우,KOSPI,
003520,영진약품,KOSPI,00141149
003530,한화투자증권,KOSPI,00148610
003535,한화투자증권우,KOSPI,
003540,대신증권,KOSPI,00110893
003545,대신증권우,KOSPI,
003547,대신증권2우B,KOSPI,
003550,LG,KOSPI,00120021
003555,LG우,KOSPI,
003560,IHQ,KOSPI,00154426
003570,SNT다이내믹스,KOSPI,00134477
003580,HLB글로벌,KOSPI,00169048
003610,방림,KOSPI,00122348
003620,KG모빌리티,KOSPI,00138242
003650,미창석유,KOSPI,00122056
003670,포스코퓨처엠,KOSPI,00155276
003680,한성기업,KOSPI,00161860
003690,코리안리,KOSPI,00113191
003720,삼영,KOSPI,00127255
003780,진양산업,KOSPI,00150439
003800,에이스침대,KOSDAQ,00140052
003830,대한화섬,KOSPI,00113544
003850,보령,KOSPI,00123143
003920,남양유업,KOSPI,00107598
003925,남양유업우,KOSPI,
003960,사조대림,KOSPI,00109718
004000,롯데정밀화학,KOSPI,00157681
004020,현대제철,KOSPI,00145880
004060,SG세계물산,KOSPI,00133511
004080,신흥,KOSPI,00173795
004090,한국석유,KOSPI,00157991
004100,태양금속,KOSPI,00153755
004105,태양금속우,KOSPI,
004140,동방,KOSPI,00115287
004150,한솔홀딩스,KOSPI,00171636
004170,신세계,KOSPI,00136378
004250,NPC,KOSPI,00108038
004255,NPC우,KOSPI,
004270,남성,KOSPI,00172185
004310,현대약품,KOSPI,00164706
004360,세방,KOSPI,00133812
004365,세방우,KOSPI,
004370,농심,KOSPI,00108241
004380,삼익THK,KOSPI,00127802
004410,서울식품,KOSPI,00130879
004415,서울식품우,KOSPI,
004430,송원산업,KOSPI,00134963
004440,삼일씨엔에스,KOSPI,00109806
004450,삼화왕관,KOSPI,00129235
004490,세방전지,KOSPI,00133858
004540,깨끗한나라,KOSPI,00113492
004545,깨끗한나라우,KOSPI,
004560,현대비앤지스틸,KOSPI,00125743
004590,한국가구,KOSDAQ,00156442
004650,창해에탄올,KOSDAQ,00123523
004690,삼천리,KOSPI,00128555
004700,조광피혁,KOSPI,00148939
004710,한솔테크닉스,KOSPI,00157399
004720,팜젠사이언스,KOSPI,00135050
004770,써니전자,KOSPI,00138057
004780,대륙제관,KOSDAQ,00109587
004800,효성,KOSPI,00117188
004830,덕성,KOSPI,00114093
004835,덕성우,KOSPI,
004840,DRB동일,KOSPI,00118266
004870,티웨이홀딩스,KOSPI,00109514
004890,동일산업,KOSPI,00172936
004910,조광페인트,KOSPI,00148920
004920,씨아이테크,KOSPI,00127158
004960,한신공영,KOSPI,00162063
004970,신라교역,KOSPI,00135962
004980,성신양회,KOSPI,00132804
004985,성신양회우,KOSPI,
004990,롯데지주,KOSPI,00120562
00499K,롯데지주우,KOSPI,
005010,휴스틸,KOSPI,00156488
005030,부산주공,KOSPI,00124151
005070,코스모신소재,KOSPI,00129989
005090,SGC에너지,KOSPI,00125150
005110,한창,KOSPI,00163716
005160,동국산업,KOSDAQ,00172680
005180,빙그레,KOSPI,00124726
005250,녹십자홀딩스,KOSPI,00108135
005257,녹십자홀딩스2우,KOSPI,
005290,동진쎄미켐,KOSDAQ,00118804
005300,롯데칠성,KOSPI,00120571
005305,롯데칠성우,KOSPI,
005320,온타이드,KOSPI,00168331
005360,모나미,KOSPI,00121288
005380,현대차,KOSPI,00164742
005385,현대차우,KOSPI,
005387,현대차2우B,KOSPI,
005389,현대차3우B,KOSPI,
005390,신성통상,KOSPI,00136341
005420,코스모화학,KOSPI,00160302
005430,한국공항,KOSPI,00156691
005440,현대지에프홀딩스,KOSPI,00105280
005490,POSCO홀딩스,KOSPI,00155319
005500,삼진제약,KOSPI,00128412
005610,SPC삼립,KOSPI,00125530
005670,푸드웰,KOSDAQ,00165103
005680,삼영전자,KOSPI,00127200
005690,파미셀,KOSPI,00145163
005710,대원산업,KOSDAQ,00111874
005720,넥센,KOSPI,00167192
005725,넥센우,KOSPI,
005740,크라운해태홀딩스,KOSPI,00153126
005745,크라운해태홀딩스우,KOSPI,
005750,대림바스,KOSPI,00109754
005800,신영와코루,KOSPI,00136624
005810,풍산홀딩스,KOSPI,00155531
005820,원림,KOSPI,00143794
005830,DB손해보험,KOSPI,00159102
005850,에스엘,KOSPI,00125521
005860,한일사료,KOSDAQ,00162911
005870,휴니드,KOSPI,00111421
005880,대한해운,KOSPI,00113535
005930,삼성전자,KOSPI,00126380
005935,삼성전자우,KOSPI,
005940,NH투자증권,KOSPI,00120182
005945,NH투자증권우,KOSPI,
005950,이수화학,KOSPI,00145552
005960,동부건설,KOSPI,00115612
005965,동부건설우,KOSPI,
005990,매일홀딩스,KOSDAQ,00120924
006040,동원산업,KOSPI,00118026
006050,국영지앤엠,KOSDAQ,00104537
006060,화승인더,KOSPI,00166227
006090,사조오양,KOSPI,00141875
006110,삼아알미늄,KOSPI,00126779
006120,SK디스커버리,KOSPI,00131832
006125,SK디스커버리우,KOSPI,
006140,피제이전자,KOSDAQ,00155735
006200,한국전자홀딩스,KOSPI,00159254
006220,제주은행,KOSPI,00148832
006260,LS,KOSPI,00105952
006280,녹십자,KOSPI,00129679
006340,대원전선,KOSPI,00260392
006345,대원전선우,KOSPI,
006360,GS건설,KOSPI,00120030
006370,대구백화점,KOSPI,00108977
006380,카프로,KOSPI,00159810
006390,한일현대시멘트,KOSPI,00164672
006400,삼성SDI,KOSPI,00126362
006405,삼성SDI우,KOSPI,
006490,인스코비,KOSPI,00122825
006570,대림통상,KOSPI,00109824
006620,동구바이오제약,KOSDAQ,00114686
006650,대한유화,KOSPI,00260383
006660,삼성공조,KOSPI,00126201
006730,서부T&D,KOSDAQ,00130383
006740,영풍제지,KOSPI,00141404
006800,미래에셋증권,KOSPI,00111722
006805,미래에셋증권우,KOSPI,
00680K,미래에셋증권2우B,KOSPI,
006840,AK홀딩스,KOSPI,00125080
006880,신송홀딩스,KOSPI,00136402
006890,태경케미컬,KOSPI,00109161
006910,보성파워텍,KOSDAQ,00267881
006920,모헨즈,KOSDAQ,00163318
006980,우성,KOSPI,00142661
007070,GS리테일,KOSPI,00140177
007110,일신석재,KOSPI,00146296
007120,미래아이앤지,KOSPI,00104786
007160,사조산업,KOSPI,00124799
007210,벽산,KOSPI,00122898
007280,한국특강,KOSPI,00124090
007310,오뚜기,KOSPI,00141529
007330,푸른저축은행,KOSDAQ,00124805
007340,DN오토모티브,KOSPI,00116949
007370,진양제약,KOSDAQ,00150536
007390,네이처셀,KOSDAQ,00117276
007460,에이프로젠,KOSPI,00152385
007530,와이엠,KOSDAQ,00140858
007540,샘표,KOSPI,00130091
007570,일양약품,KOSPI,00146454
007575,일양약품우,KOSPI,
007590,동방아그로,KOSPI,00115384
007610,선도전기,KOSPI,00131939
007660,이수페타시스,KOSPI,00107613
007680,대원,KOSDAQ,00111838
007690,국도화학,KOSPI,00104388
007700,F&F홀딩스,KOSPI,00126487
007720,소노스퀘어,KOSDAQ,00104810
007770,한일화학,KOSDAQ,00267979
007810,코리아써키트,KOSPI,00152686
007815,코리아써우,KOSPI,
00781K,코리아써키트2우B,KOSPI,
007820,에스엠코어,KOSDAQ,00137915
007860,서연,KOSPI,00163114
007980,TP,KOSPI,00154329
008040,사조동아원,KOSPI,00137252
008060,대덕,KOSPI,00109189
00806K,대덕1우,KOSPI,
008110,대동전자,KOSPI,00157104
008250,이건산업,KOSPI,00145446
008260,NI스틸,KOSPI,00116301
008290,원풍물산,KOSDAQ,00144021
008350,남선알미늄,KOSPI,00107224
008355,남선알미우,KOSPI,
008370,원풍,KOSDAQ,00144012
008420,문배철강,KOSPI,00121570
008470,부스타,KOSDAQ,00124276
008490,서흥,KOSPI,00131692
008500,일정실업,KOSPI,00146542
008600,윌비스,KOSPI,00104999
008700,아남전자,KOSPI,00138516
008730,율촌화학,KOSPI,00145260
008770,호텔신라,KOSPI,00165680
008775,호텔신라우,KOSPI,
008830,대동기어,KOSDAQ,00109310
008870,금비,KOSPI,00168401
008930,한미사이언스,KOSPI,00161426
008970,동양철관,KOSPI,00117629
009070,KCTC,KOSPI,00103042
009140,경인전자,KOSPI,00102140
009150,삼성전기,KOSPI,00126371
009155,삼성전기우,KOSPI,
009160,SIMPAC,KOSPI,00138260
009180,한솔로지스틱스,KOSPI,00140946
009190,대양금속,KOSPI,00111111
009200,무림페이퍼,KOSPI,00136086
009240,한샘,KOSPI,00161693
009270,신원,KOSPI,00136864
009290,광동제약,KOSPI,00103592
009300,삼아제약,KOSDAQ,00126788
009310,참엔지니어링,KOSPI,00153621
009320,아진전자부품,KOSPI,00111689
009410,태영건설,KOSPI,00153861
009415,태영건설우,KOSPI,
009420,한올바이오파마,KOSPI,00162586
009440,KC그린홀딩스,KOSPI,00159971
009450,경동나비엔,KOSPI,00101488
009460,한창제지,KOSPI,00163761
009470,삼화전기,KOSPI,00129271
009520,포스코엠텍,KOSDAQ,00128111
009540,HD한국조선해양,KOSPI,00164830
009580,무림P&P,KOSPI,00119007
009620,삼보산업,KOSDAQ,00125822
009680,모토닉,KOSPI,00151128
009730,이렘,KOSDAQ,00116426
009770,삼정펄프,KOSPI,00128227
009780,엠에스씨,KOSDAQ,00121154
009810,플레이그램,KOSPI,00103130
009830,한화솔루션,KOSPI,00162461
009835,한화솔루션우,KOSPI,
009900,명신산업,KOSPI,00173078
009970,영원무역홀딩스,KOSPI,00140964
010040,한국내화,KOSPI,00160205
010060,OCI홀딩스,KOSPI,00148896
010100,한국무브넥스,KOSPI,00160418
010120,LS ELECTRIC,KOSPI,00105855
010130,고려아연,KOSPI,00102858
010140,삼성중공업,KOSPI,00126478
010170,대한광통신,KOSDAQ,00113261
010240,흥국,KOSDAQ,00167031
010280,아이티센엔텍,KOSDAQ,00138303
010400,우진아이엔에스,KOSPI,00143262
010420,한솔PNS,KOSPI,00103626
010470,오리콤,KOSDAQ,00141671
010580,에스엠벡셀,KOSPI,00147860
010600,웰바이오텍,KOSPI,00141273
010620,HD현대미포,KOSPI,00164609
010640,진양폴리,KOSPI,00160375
010660,화천기계,KOSPI,00166500
010690,화신,KOSPI,00166315
010770,평화홀딩스,KOSPI,00155124
010780,아이에스동서,KOSPI,00115977
010820,퍼스텍,KOSPI,00148522
010950,S-Oil,KOSPI,00138279
010955,S-Oil우,KOSPI,
010960,삼호개발,KOSPI,00128980
011000,진원생명과학,KOSPI,00118521
011040,경동제약,KOSDAQ,00101549
011070,LG이노텍,KOSPI,00105961
011080,형지I&C,KOSDAQ,00142713
011090,에넥스,KOSPI,00139764
011150,CJ씨푸드,KOSPI,00129013
011155,CJ씨푸드1우,KOSPI,
011170,롯데케미칼,KOSPI,00165413
011200,HMM,KOSPI,00164645
011210,현대위아,KOSPI,00106623
011230,삼화전자,KOSPI,00129280
011280,태림포장,KOSPI,00153524
011300,성안머티리얼스,KOSPI,00132868
011320,유니크,KOSDAQ,00147152
011330,유니켐,KOSPI,00137207
011370,서한,KOSDAQ,00131504
011390,부산산업,KOSPI,00124027
011420,갤럭시아에스엠,KOSPI,00129554
011500,한농화성,KOSPI,00160861
011560,세보엠이씨,KOSDAQ,00133876
011690,와이투솔루션,KOSPI,00144720
011700,한신기계,KOSPI,00162072
011760,현대코퍼레이션,KOSPI,00164812
011780,금호석유화학,KOSPI,00106368
011785,금호석유화학우,KOSPI,
011790,SKC,KOSPI,00139889
011810,STX,KOSPI,00138297
011930,신성이엔지,KOSPI,00136271
012030,DB,KOSPI,00163345
012160,영흥,KOSPI,00141477
012170,아센디오,KOSPI,00145437
012200,계양전기,KOSPI,00102618
012205,계양전기우,KOSPI,
012210,삼미금속,KONEX,00125664
012280,영화금속,KOSPI,00141413
012320,경동인베스트,KOSPI,00143527
012330,현대모비스,KOSPI,00164788
012340,뉴인텍,KOSDAQ,00105040
012450,한화에어로스페이스,KOSPI,00126566
012510,더존비즈온,KOSPI,00172291
012610,경인양행,KOSPI,00102113
012620,원일특강,KOSDAQ,00143907
012630,HDC,KOSPI,00164636
012690,모나리자,KOSPI,00173102
012700,리드코프,KOSDAQ,00117708
012750,에스원,KOSPI,00158501
012790,신일제약,KOSDAQ,00137058
012800,대창,KOSPI,00112651
012860,모베이스전자,KOSDAQ,00137234
013000,세우글로벌,KOSPI,00134176
013030,하이록코리아,KOSDAQ,00165060
013120,동원개발,KOSDAQ,00117966
013310,아진산업,KOSDAQ,00139083
013360,일성건설,KOSPI,00146232
013520,화승코퍼레이션,KOSPI,00166272
013570,디와이,KOSPI,00117179
013580,계룡건설,KOSPI,00102432
013700,까뮤이앤씨,KOSPI,00129420
013720,CBI,KOSDAQ,00151605
013810,스페코,KOSDAQ,00136165
013870,지엠비코리아,KOSPI,00156354
013890,지누스,KOSPI,00150633
013990,아가방컴퍼니,KOSDAQ,00138446
014100,메디앙스,KOSDAQ,00267854
014130,한익스프레스,KOSPI,00129509
014160,대영포장,KOSPI,00111458
014190,원익큐브,KOSDAQ,00128175
014200,광림,KOSDAQ,00103635
014280,금강공업,KOSPI,00105299
014285,금강공업우,KOSPI,
014440,영보화학,KOSPI,00140779
014470,부방,KOSDAQ,00243067
014530,극동유화,KOSPI,00105156
014570,고려제약,KOSDAQ,00103015
014580,태경비케이,KOSPI,00122481
014620,성광벤드,KOSDAQ,00132318
014680,한솔케미칼,KOSPI,00140955
014710,사조씨푸드,KOSPI,00124780
014790,HL D&I,KOSPI,00161116
014820,동원시스템즈,KOSPI,00132637
014825,동원시스템즈우,KOSPI,
014830,유니드,KOSPI,00159786
014910,성문전자,KOSPI,00132628
014915,성문전자우,KOSPI,
014940,오리엔탈정공,KOSDAQ,00141608
014970,삼륭물산,KOSDAQ,00125488
014990,인디에프,KOSPI,00106881
015020,이스타코,KOSPI,00134565
015230,대창단조,KOSPI,00112679
015260,에이엔피,KOSPI,00143314
015360,INVENI,KOSPI,00105101
015590,DKME,KOSPI,00108746
015710,코콤,KOSDAQ,00187725
015750,성우하이텍,KOSDAQ,00132992
015760,한국전력,KOSPI,00159193
015860,일진홀딩스,KOSPI,00146649
015890,태경산업,KOSPI,00153339
016090,대현,KOSPI,00113614
016100,리더스코스메틱,KOSDAQ,00180263
016250,SGC E&C,KOSDAQ,00141246
016360,삼성증권,KOSPI,00104856
016380,KG스틸,KOSPI,00115676
016450,한세예스24홀딩스,KOSPI,00161976
016580,환인제약,KOSPI,00166573
016590,신대양제지,KOSPI,00135777
016600,큐캐피탈,KOSDAQ,00267942
016610,DB증권,KOSPI,00115694
016670,디모아,KOSDAQ,00125725
016710,대성홀딩스,KOSPI,00108940
016740,두올,KOSPI,00119672
016790,현대사료,KOSDAQ,00164618
016800,퍼시스,KOSPI,00161709
016880,웅진,KOSPI,00143651
016920,카스,KOSDAQ,00152260
017000,신원종합개발,KOSDAQ,00136925
017040,광명전기,KOSPI,00103662
017180,명문제약,KOSPI,00121039
017250,인터엠,KOSDAQ,00145914
017370,우신시스템,KOSPI,00142883
017390,서울가스,KOSPI,00130684
017480,삼현철강,KOSDAQ,00128926
017510,세명전기,KOSDAQ,00133751
017550,수산세보틱스,KOSPI,00135111
017650,대림제지,KOSDAQ,00109781
017670,SK텔레콤,KOSPI,00159023
017800,현대엘리베이터,KOSPI,00164724
017810,풀무원,KOSPI,00155355
017860,DS단석,KOSPI,00108612
017890,한국알콜,KOSDAQ,00158565
017900,광전자,KOSPI,00152729
017940,E1,KOSPI,00165583
017960,한국카본,KOSPI,00159795
018000,유니슨,KOSDAQ,00144243
018120,진로발효,KOSDAQ,00170877
018250,애경산업,KOSPI,00139454
018260,삼성에스디에스,KOSPI,00126186
018290,브이티,KOSDAQ,00150165
018310,삼목에스폼,KOSDAQ,00125646
