gilticker,corp_name,ESG,E,S,G
016590,신대양제지,D,C,D,D
029530,신도리코,D,C,D,D
004970,신라교역,D,D,D,C
215600,신라젠,D,D,D,C
065350,신성델타테크,C,C,D,B
011930,신성이엔지,C,C,C,C
005390,신성통상,D,D,D,D
004170,신세계,A,A,A+,A
035510,신세계I&C,A,A,A+,A
034300,신세계건설,B+,B+,B+,B+
031430,신세계인터내셔날,A,A,A,A
031440,신세계푸드,A,A,A+,A
006880,신송홀딩스,D,D,D,D
005800,신영와코루,D,D,D,D
001720,신영증권,B+,B+,A,B+
009270,신원,B+,B,A,B+
002700,신일전자,D,D,D,C
002870,신풍,D,D,D,C
019170,신풍제약,C,C,B+,D
828992,신한라이프생명보험,등급없음,등급없음,등급없음,A
000010,신한은행,등급없음,등급없음,등급없음,B+
055550,신한지주,A+,A+,A,A+
032710,신한카드,등급없음,등급없음,등급없음,A
811323,신한캐피탈,등급없음,등급없음,등급없음,A
008670,신한투자증권,등급없음,등급없음,등급없음,A
056700,신화인터텍,C,C,C,B
004080,신흥,D,D,D,D
222800,심텍,A,B+,A+,B+
102280,쌍방울,D,D,D,D
000nan,,,,,
004770,써니전자,D,C,D,D
403550,쏘카,C,D,D,B
222080,씨아이에스,C,C,C,C
004920,씨아이테크,D,D,D,D
112610,씨에스윈드,A,A,B+,A
096530,씨젠,B+,B,A,B+
308170,씨티알모빌리티,B,B,C,B
025980,아난티,C,B,B,D
008700,아남전자,D,D,D,C
090430,아모레퍼시픽,A,A,A+,A
002790,아모레퍼시픽홀딩스,A+,A,A+,A+
002030,아세아,A,A,A,A
183190,아세아시멘트,A,A,A,B+
002310,아세아제지,B+,B+,A,B
012170,아센디오,D,D,D,D
267850,아시아나IDT,B,C,B+,B
020560,아시아나항공,B+,A,B+,B+
122900,아이마켓코리아,B,C,B+,B
829322,아이비케이연금보험,등급없음,등급없음,등급없음,B
828519,아이비케이캐피탈,등급없음,등급없음,등급없음,B
809467,아이비케이투자증권,등급없음,등급없음,등급없음,B
099190,아이센스,B,C,B+,B+
010780,아이에스동서,C,B,B+,C
003560,아이에이치큐,D,D,C,D
005270,아이엠뱅크,등급없음,등급없음,등급없음,B+
084850,아이티엠반도체,B+,B+,A,B
027360,아주IB투자,B,C,A,B
139990,아주스틸,D,C,D,D
009320,아진전자부품,D,D,D,D
053800,안랩,A,B+,A+,B+
001780,알루코,C,B,B,C
196170,알테오젠,C,D,C,B
018250,애경산업,A,A,A+,A
161000,애경케미칼,B+,B+,A,B+
011090,에넥스,D,C,D,D
137310,에스디바이오센서,C,C,B,D
101490,에스앤에스텍,C,D,D,B+
056190,에스에프에이,C,C,C,B
005850,에스엘,B,B+,A,C
041510,에스엠,B+,A,B+,B+
010580,에스엠벡셀,D,D,D,C
007820,에스엠코어,C,D,C,C
012750,에스원,B+,B+,A,B+
123700,에스제이엠,C,C,C,C
025530,에스제이엠홀딩스,C,C,C,C
326030,에스케이바이오팜,A,B+,A+,A
052020,에스티큐브,D,D,D,D
237690,에스티팜,A,A,A+,B+
058610,에스피지,D,D,D,C
023960,에쓰씨엔지니어링,D,C,D,D
298690,에어부산,C,B+,B+,D
140910,에이리츠,C,D,D,B
078520,에이블씨엔씨,B+,B,B+,B+
298380,에이비엘바이오,C,D,D,B+
804337,에이비엘생명보험,등급없음,등급없음,등급없음,B+
801688,에이아이에이생명보험,등급없음,등급없음,등급없음,B
015260,에이엔피,D,C,D,D
007460,에이프로젠,D,D,D,D
003060,에이프로젠바이오로직스,D,C,D,D
244920,에이플러스에셋,D,D,D,C
230240,에치에프알,D,D,D,D
230360,에코마케팅,C,D,D,B
086520,에코프로,C,B,B+,D
247540,에코프로비엠,C,B,B+,D
383310,에코프로에이치엔,B,B,B,B+
036810,에프에스티,C,C,D,C
019490,엑시큐어하이트론,D,C,D,D
036570,엔씨소프트,A,B+,A+,A
806955,엔에이치농협캐피탈,등급없음,등급없음,등급없음,A
181710,엔에이치엔,A,A,A+,A
085310,엔케이,D,D,D,D
182400,엔케이맥스,D,D,D,D
348370,엔켐,D,C,C,D
004250,엔피씨,D,C,C,D
290650,엘앤씨바이오,C,D,D,B+
066970,엘앤에프,B,B+,A,C
010120,엘에스일렉트릭,A,A,A,A
058970,엠로,D,D,D,C
097520,엠씨넥스,B,C,B+,B+
014440,영보화학,D,C,C,D
111770,영원무역,B+,B+,B+,B+
009970,영원무역홀딩스,A,B+,B+,A
003520,영진약품,B+,B+,A,B+
000670,영풍,B,C,B,B+
036560,영풍정밀,B+,B+,A,B+
006740,영풍제지,D,C,D,D
012280,영화금속,D,C,D,D
012160,영흥,C,C,D,C
007310,오뚜기,A,A,A+,B+
002630,오리엔트바이오,D,D,D,D
271560,오리온,A,A,A,B+
001800,오리온홀딩스,A,A,A,A
010470,오리콤,B,D,C,B+
039200,오스코텍,D,D,D,D
005320,온타이드,D,D,D,D
273060,와이즈버즈,D,D,D,C
122870,와이지엔터테인먼트,B,A,C,B+
011690,와이투솔루션,C,C,C,C
316140,우리금융지주,A,A+,A,B+
033660,우리금융캐피탈,등급없음,등급없음,등급없음,B
041190,우리기술투자,D,D,D,D
000030,우리은행,등급없음,등급없음,등급없음,B+
010050,우리종합금융,등급없음,등급없음,등급없음,B+
879070,우리카드,등급없음,등급없음,등급없음,A
006980,우성,D,D,C,D
017370,우신시스템,C,D,D,B
105840,우진,C,D,C,B
010400,우진아이엔에스,C,C,C,B
049800,우진플라임,D,C,D,D
016880,웅진,B,C,B+,B
095720,웅진씽크빅,B,B,A+,C
005820,원림,D,D,D,C
240810,원익IPS,B,B,A,C
074600,원익QnC,C,B+,A,D
336570,원텍,D,D,D,D
010600,웰바이오텍,D,D,D,D
069080,웹젠,B,D,C,B+
112040,위메이드,C,B+,A,C
008600,윌비스,D,D,C,D
033270,유나이티드,B+,B,B+,B+
014830,유니드,B,B,B+,B
446070,유니드비티플러스,C,C,C,C
018000,유니슨,C,C,C,B
000910,유니온,C,C,C,B
047400,유니온머티리얼,C,C,D,C
011330,유니켐,D,C,D,D
077500,유니퀘스트,D,D,D,C
086390,유니테스트,C,D,C,C
002920,유성기업,C,C,C,B
000700,유수홀딩스,B+,B+,A,B+
003470,유안타증권,C,C,D,B
072130,유엔젤,D,D,D,D
000220,유유제약,C,D,C,C
023410,유진기업,D,D,D,D
001200,유진증권,C,B,D,B
084370,유진테크,C,C,C,C
000100,유한양행,A,B+,A+,A
003460,유화증권,D,D,D,C
372170,윤성에프앤씨,C,C,D,C
008730,율촌화학,C,C,C,C
008250,이건산업,D,D,D,D
025820,이구산업,C,C,D,B
214320,이노션,A,A,A+,B+
272290,이녹스첨단소재,B+,B+,B,B+
053350,이니텍,B,C,C,B+
139480,이마트,A,A,A,A
007660,이수페타시스,B,B+,A,C
005950,이수화학,B,B+,B+,C
015020,이스타코,D,D,D,D
093230,이아이디,D,D,D,D
074610,이엔플러스,D,C,D,D
091120,이엠텍,D,D,D,C
102460,이연제약,C,D,D,B+
039030,이오테크닉스,D,C,D,D
294090,이오플로우,C,D,C,B
084680,이월드,D,D,D,D
000760,이화산업,D,C,D,D
014990,인디에프,D,D,D,C
101140,인바이오젠,D,D,D,D
060150,인선이엔티,C,C,C,C
006490,인스코비,D,D,D,D
023800,인지컨트롤스,C,C,C,C
034590,인천도시가스,B,D,B,B+
216050,인크로스,B,D,C,B+
049070,인탑스,B,C,B+,B
129260,인터지스,C,C,C,C
051370,인터플렉스,C,C,B,C
189300,인텔리안테크,C,B,B,C
023810,인팩,C,C,D,C
249420,일동제약,A,A,A,B+
000230,일동홀딩스,B+,A,A,B+
013360,일성건설,D,C,D,D
003120,일성아이에스,D,D,D,C
003200,일신방직,D,C,C,D
007110,일신석재,D,D,D,D
007570,일양약품,C,D,C,B+
008500,일정실업,D,D,D,D
081000,일진다이아,D,D,D,C
020760,일진디스플,C,C,D,B
103590,일진전기,D,C,C,D
271940,일진하이솔루스,C,C,C,C
015860,일진홀딩스,B,C,C,B+
226320,잇츠한불,C,C,C,B
317400,자이에스앤디,B,C,B+,B
033240,자화전자,C,C,D,C
000950,전방,D,C,D,D
006350,전북은행,등급없음,등급없음,등급없음,B+
095700,제넥신,C,D,C,B
818905,제이비우리캐피탈,등급없음,등급없음,등급없음,B+
287410,제이시스메디칼,C,D,D,B
204270,제이앤티씨,C,C,D,C
194370,제이에스코퍼레이션,C,D,D,B+
025620,제이준코스메틱,D,D,D,D
030000,제일기획,A,A,A+,A
271980,제일약품,C,C,B+,D
001560,제일연마,C,C,D,B+
002620,제일파마홀딩스,C,C,B+,C
006220,제주은행,A,A,A,A
089590,제주항공,A,A+,A+,B+
082270,젬백스,D,C,C,D
004910,조광페인트,B+,B+,A,B
004700,조광피혁,C,D,D,B
001550,조비,D,D,D,D
120030,조선선재,D,D,D,C
018470,조일알미늄,C,C,D,B
002600,조흥,B,B+,C,B
185750,종근당,A,A,A,B+
063160,종근당바이오,B+,B+,A,B+
001630,종근당홀딩스,A,A,A,A
036930,주성엔지니어링,B+,B+,A,B+
109070,주성코퍼레이션,D,C,D,D
044380,주연테크,D,D,D,D
013890,지누스,A,A,A+,A
144510,지씨셀,B+,B+,A,B
013870,지엠비코리아,D,D,C,D
071320,지역난방공사,A+,A+,A+,A
088790,진도,D,D,D,D
003780,진양산업,D,D,D,D
010640,진양폴리우레탄,D,D,D,D
100250,진양홀딩스,D,D,D,D
051630,진양화학,D,C,C,D
272450,진에어,A,A+,A,A
011000,진원생명과학,D,D,D,D
002780,진흥기업,C,D,C,B
085660,차바이오텍,C,D,C,C
009310,참엔지니어링,D,D,D,C
278280,천보,C,C,D,C
000650,천일고속,D,C,D,D
012600,청호ICT,D,D,D,D
033250,체시스,D,C,D,D
035720,카카오,A,A+,A,B+
293490,카카오게임즈,A,A,A+,A
323410,카카오뱅크,A,A,A,A
377300,카카오페이,B+,A,B+,B+
006380,카프로,D,C,D,D
119860,커넥트웨이브,C,D,C,C
078340,컴투스,A,A,A+,B+
214370,케어젠,B,C,C,B+
807958,케이디비생명보험,등급없음,등급없음,등급없음,B
800172,케이뱅크은행,등급없음,등급없음,등급없음,B+
861717,케이비국민카드,등급없음,등급없음,등급없음,A
001620,케이비아이동국실업,D,D,D,D
003450,케이비증권,등급없음,등급없음,등급없음,A
021960,케이비캐피탈,등급없음,등급없음,등급없음,B+
029460,케이씨,B,C,B+,B
002380,케이씨씨,B+,B+,A,B+
344820,케이씨씨글라스,A,A,A+,B+
281820,케이씨텍,C,C,C,B
009070,케이씨티시,D,C,D,D
105330,케이엔더블유,C,C,C,C
032500,케이엠더블유,C,C,D,C
381970,케이카,B,C,B,B
145270,케이탑리츠,D,D,D,D
030200,케이티,A+,A,A+,A+
053210,케이티스카이라이프,B+,B+,A,B+
036030,케이티알파,B+,B+,A,B+
033780,케이티앤지,A,A,A+,A
007810,코리아써키트,C,B,D,D
190650,코리아에셋투자증권,C,D,B,C
003690,코리안리,A,A,A+,A
183300,코미코,B,A,B,C
041960,코미팜,C,C,D,C
192820,코스맥스,B+,A,A+,B
044820,코스맥스비티아이,B,A,A+,C
005070,코스모신소재,C,C,D,C
005420,코스모화학,D,C,D,D
071950,코아스,C,C,D,B
002020,코오롱,B+,B+,A,B
138490,코오롱ENP,B,B+,C,B+
003070,코오롱글로벌,B+,B,A,B+
102940,코오롱생명과학,C,D,C,B+
120110,코오롱인더,A,B+,A+,B+
021240,코웨이,A,B+,A+,B+
033290,코웰패션,C,C,D,C
036420,콘텐트리중앙,D,C,D,D
200130,콜마비앤에이치,A,B+,A,A
024720,콜마홀딩스,A,A,A+,A
031820,콤텍시스템,C,B+,B+,D
192400,쿠쿠홀딩스,C,D,C,B
284740,쿠쿠홈시스,C,D,C,B
060280,큐렉소,D,D,D,D
016600,큐캐피탈,D,D,D,D
264900,크라운제과,C,C,C,B
005740,크라운해태홀딩스,C,C,C,C
259960,크래프톤,B+,C,A,A
214150,클래시스,A+,A,A+,A+
020120,키다리스튜디오,D,D,D,D
039490,키움증권,B+,B,A,B+
054780,키이스트,D,D,D,D
360070,탑머티리얼,C,D,D,B
014580,태경비케이,D,C,D,D
015890,태경산업,D,C,D,D
006890,태경케미컬,D,D,C,D
003240,태광산업,B,B+,A+,C
011280,태림포장,B,B+,A+,C
004100,태양금속공업,C,C,D,C
009410,태영건설,B,B+,B+,C
001420,태원물산,D,D,D,D
095610,테스,B+,B,B+,B+
055490,테이팩스,B+,B+,A,B+
078000,텔코웨어,C,D,D,B+
214420,토니모리,C,D,D,B
801671,토스뱅크,등급없음,등급없음,등급없음,B+
084870,티비에이치글로벌,C,D,D,B
064760,티씨케이,B+,B,A,B+
131290,티에스이,D,D,D,C
019180,티에이치엔,D,C,C,D
363280,티와이홀딩스,C,B+,B+,D
091810,티웨이항공,B+,A,B,B+
004870,티웨이홀딩스,D,D,D,D
069260,티케이지휴켐스,B+,B+,A,B
104480,티케이케미칼,D,C,D,D
034230,파라다이스,D,D,D,C
214450,파마리서치,B,D,B+,B+
005690,파미셀,D,D,D,C
140860,파크시스템스,C,C,D,B
091700,파트론,D,C,D,D
036580,팜스코,B+,B,B+,B+
004720,팜젠사이언스,C,C,B,D
028670,팬오션,A,A,A+,A
010820,퍼스텍,D,C,C,D
016800,퍼시스,C,B,C,C
263750,펄어비스,B+,B+,A+,B
001020,페이퍼코리아,C,C,C,C
090080,평화산업,C,B,B,C
010770,평화홀딩스,B,B,B,B
022100,포스코DX,A,A,A+,B+
058430,포스코스틸리온,A,A,A+,B+
009520,포스코엠텍,A,A,A+,A
047050,포스코인터내셔널,A,B+,A+,A
003670,포스코퓨처엠,A+,A+,A+,A
860086,푸본현대생명보험,등급없음,등급없음,등급없음,B+
017810,풀무원,A,A,A+,A
103140,풍산,B+,B,B+,B+
005810,풍산홀딩스,B+,B,B,B+
053610,프로텍,C,C,D,C
009810,플레이그램,D,D,D,D
237820,플레이디,B+,B+,B+,B+
019570,플루토스,D,D,D,D
319660,피에스케이,B,C,B,B
137400,피엔티,D,D,D,C
086790,하나금융지주,A,A+,A+,A
299030,하나기술,C,C,D,B
067310,하나마이크론,C,B+,A,D
166090,하나머티리얼즈,B,B,A,C
800845,하나생명보험,등급없음,등급없음,등급없음,B
004940,하나은행,등급없음,등급없음,등급없음,B+
293480,하나제약,D,D,D,C
805992,하나증권,등급없음,등급없음,등급없음,B+
856659,하나카드,등급없음,등급없음,등급없음,B+
809337,하나캐피탈,등급없음,등급없음,등급없음,B
039130,하나투어,A,A,A,A
136480,하림,A,A,A,A
003380,하림지주,B+,A,A,B+
101670,하이드로리튬,D,D,D,D
352820,하이브,B+,B,A,B+
071090,하이스틸,C,C,C,C
814270,하이투자증권,등급없음,등급없음,등급없음,B+
000080,하이트진로,B+,A,A,B
000140,하이트진로홀딩스,B+,A,A,B
036460,한국가스공사,A,A,A+,A
005430,한국공항,A,A,A,B+
071050,한국금융지주,B+,B+,B+,B+
010040,한국내화,B+,B+,A,B
025540,한국단자공업,C,C,C,C
010100,한국무브넥스,C,B,C,C
004090,한국석유공업,B+,B+,B+,A
002200,한국수출포장공업,C,C,D,C
002960,한국쉘석유,D,D,D,C
000110,한국스탠다드차타드은행,등급없음,등급없음,등급없음,A+
016830,한국씨티은행,등급없음,등급없음,등급없음,B+
000240,한국앤컴퍼니,B+,B+,A,B
123890,한국자산신탁,C,C,D,C
015760,한국전력공사,B,C,D,A
006200,한국전자홀딩스,D,C,D,D
053300,한국정보인증,D,D,C,D
025770,한국정보통신,C,D,D,B
027970,한국제지,C,C,C,C
023350,한국종합기술,B,C,B,B+
025890,한국주강,D,D,D,D
000970,한국주철관공업,D,C,D,D
104700,한국철강,C,C,D,C
017960,한국카본,C,B+,B+,D
023760,한국캐피탈,C,D,D,B
161890,한국콜마,A,A,A+,A
161390,한국타이어앤테크놀로지,C,B+,A,D
034830,한국토지신탁,D,D,C,D
804504,한국투자증권,등급없음,등급없음,등급없음,B+
833339,한국투자캐피탈,등급없음,등급없음,등급없음,B
007280,한국특강,C,C,C,C
047810,한국항공우주,A,A,A,B+
123690,한국화장품,D,D,D,D
003350,한국화장품제조,D,D,C,D
030520,한글과컴퓨터,D,D,D,C
011500,한농화성,D,C,D,D
002390,한독,A,A,A+,B+
053690,한미글로벌,B+,A,A,B+
042700,한미반도체,D,D,D,D
008930,한미사이언스,B+,B+,A,B+
128940,한미약품,B,A,A+,C
009240,한샘,A,B+,A,A
020000,한섬,A,A,A+,A
003680,한성기업,C,B,B+,D
105630,한세실업,A,B+,A,A
069640,한세엠케이,B+,B+,B+,B+
016450,한세예스24홀딩스,A,B+,A,A
009180,한솔로지스틱스,B+,C,B+,A
114810,한솔아이원스,B+,B,B+,B+
070590,한솔인티큐브,B+,C,B+,A
213500,한솔제지,A,A,A+,A
014680,한솔케미칼,A,B+,A,A
004710,한솔테크닉스,B+,B+,B+,B+
010420,한솔피엔에스,B+,B,B,A
004150,한솔홀딩스,A,B+,A,A
025750,한솔홈데코,B+,B+,B,B+
004960,한신공영,D,C,C,D
011700,한신기계공업,C,C,C,C
001750,한양증권,C,D,C,C
018880,한온시스템,B+,A,A+,B
009420,한올바이오파마,C,D,D,B+
014130,한익스프레스,D,C,D,D
300720,한일시멘트,A,A,A+,B+
002220,한일철강,D,D,D,D
006390,한일현대시멘트,A,A,A,B+
003300,한일홀딩스,A,A,A+,B+
051600,한전KPS,A,A+,A+,B+
052690,한전기술,A,A,A+,B+
130660,한전산업,C,C,C,C
002320,한진,A,A,A,A
003480,한진중공업홀딩스,C,D,C,B+
180640,한진칼,A,B+,A,A
005110,한창,D,D,D,D
009460,한창제지,C,C,D,C
372910,한컴라이프케어,D,C,C,D
000880,한화,B+,A,B+,B+
088350,한화생명,A,A,A+,B+
000370,한화손해보험,A,A,A+,B+
009830,한화솔루션,B+,A,A+,B
272210,한화시스템,A,A,A+,A
012450,한화에어로스페이스,A,A,A+,B+
082740,한화엔진,B+,B+,A,B+
042660,한화오션,B+,A,B,B
003530,한화투자증권,A,A,A+,B+
195870,해성디에스,A,A,A+,B+
101530,해태제과식품,D,D,C,D
143210,핸즈코퍼레이션,D,C,D,D
000720,현대건설,A,A,A,B+
086280,현대글로비스,A,A,A+,A
064350,현대로템,A+,A+,A+,A
079430,현대리바트,A,A,A+,A
012330,현대모비스,A,A+,A+,B+
048410,현대바이오,D,D,D,D
052260,현대바이오랜드,A,A,A+,A
069960,현대백화점,A+,A+,A+,A
004560,현대비앤지스틸,B+,B+,A,B
016790,현대사료,D,D,D,D
004310,현대약품,C,C,C,C
041440,현대에버다임,A,B+,A,A
017800,현대엘리베이터,A,A,A+,B+
307950,현대오토에버,A,A,A+,A
011210,현대위아,A+,A+,A+,A
090850,현대이지웰,A+,A+,A+,A+
005380,현대자동차,A,A+,B+,A
004020,현대제철,A,A,A,B+
005440,현대지에프홀딩스,A,A+,A+,A
001500,현대차증권,B+,A,A,B+
815419,현대카드,등급없음,등급없음,등급없음,A
836248,현대캐피탈,등급없음,등급없음,등급없음,A
888975,현대커머셜,등급없음,등급없음,등급없음,A
011760,현대코퍼레이션,B+,B+,B+,B+
227840,현대코퍼레이션홀딩스,B+,B,B+,B+
126560,현대퓨처넷,A,A+,A+,A
001450,현대해상,A,A,A+,A
057050,현대홈쇼핑,A+,A,A+,A+
093240,형지엘리트,D,D,D,D
003010,혜인,D,D,D,D
111110,호전실업,C,D,D,B+
008770,호텔신라,A,B+,A,A
378850,화승알앤에이,B+,B+,B+,B+
241590,화승엔터프라이즈,B+,B+,A,B+
006060,화승인더스트리,B+,B+,A,B+
013520,화승코퍼레이션,B+,B+,B+,B+
010690,화신,B+,B+,A,B
133820,화인베스틸,D,C,D,D
010660,화천기계,C,D,C,C
000850,화천기공,C,D,C,C
016580,환인제약,C,D,C,B+
032560,황금에스티,C,D,D,B+
004800,효성,A,A,A+,B+
094280,효성 ITX,A,A,A+,A
298040,효성중공업,B+,A,A+,B
298020,효성티앤씨,B+,A,A+,B
298000,효성화학,A,A,A+,B+
093370,후성,B,B+,A,C
005870,휴니드테크놀러지스,C,C,D,C
079980,휴비스,B+,B+,A,B+
005010,휴스틸,C,C,C,C
243070,휴온스,A,A,A,B+
145020,휴젤,C,C,C,B
818586,흥국생명보험,등급없음,등급없음,등급없음,B
000540,흥국화재,B+,C,B+,B+
003280,흥아해운,B,B,B+,B
